"categories","Star1rvws","Star2rvws","Star3rvws","Star4rvws","Star5rvws","attributes.Noise.Level","latitude","longitude","stars","business_id","name","clstr","Businessid","Cluster","ttlRelSuck","ClusterRank"
"['Greek', 'Restaurants']",14,15,28,88,132,"average",36.109883,-115.173887,4,"_6gbnNRPIc-iM_0cBLPX1A","Estiatorio Milos",5,"_6gbnNRPIc-iM_0cBLPX1A",5,10975.5336364088,45
"['Food', 'Desserts', 'Specialty Food', 'Chocolatiers & Shops']",12,21,77,261,201,"average",36.1191259407,-115.177256695,4,"_CHH9KN1bO5cs_GHjQ-r1A","Max Brenner",5,"_CHH9KN1bO5cs_GHjQ-r1A",5,12556.3768562562,76
"['American (Traditional)', 'Diners', 'Restaurants']",20,53,82,131,37,"average",36.1082943796,-115.152589542,3.5,"_VN5hYv1VgNIBgwxTQZ_1Q","Mr. Lucky's 24-7",3,"_VN5hYv1VgNIBgwxTQZ_1Q",3,922.544698774373,1
"['Restaurants', 'Italian']",15,20,66,154,113,"average",36.128222,-115.172986,4,"-2n-OHbbwIv3SY8RP9bgTQ","Maggiano's Little Italy",5,"-2n-OHbbwIv3SY8RP9bgTQ",5,11864.6597409729,66
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",20,41,109,355,373,"",36.1120238,-115.1745933,4,"-7yF42k0CcJhtPw51oaOqQ","Bellagio Hotel",5,"-7yF42k0CcJhtPw51oaOqQ",5,10171.3771442323,31
"['Thai', 'Vegetarian', 'Restaurants']",13,11,41,115,85,"average",36.1258871,-115.1944248,4,"-SNpLwJNup8N96yq7sBJyw","Thai Style Noodle House",2,"-SNpLwJNup8N96yq7sBJyw",2,2224.28326214732,14
"['Pubs', 'Bars', 'Nightlife', 'Irish', 'Restaurants']",8,21,54,123,85,"loud",36.103087,-115.17352,4,"05tazaFQt1EnQ_Gk_1AFyg","Nine Fine Irishmen",5,"05tazaFQt1EnQ_Gk_1AFyg",5,12342.7330348005,75
"['Tapas/Small Plates', 'Tapas Bars', 'Restaurants']",9,12,41,98,98,"average",36.144875,-115.302719,4,"07bUAD_qnrJAXvJou_ls4g","Firefly",1,"07bUAD_qnrJAXvJou_ls4g",1,1140.48117071066,8
"['Seafood', 'Steakhouses', 'Restaurants']",5,14,21,97,186,"average",36.1079241113,-115.174055099,4.5,"1U1GRksKXF7q8FKcW0e5VQ","Mastro's Ocean Club",5,"1U1GRksKXF7q8FKcW0e5VQ",5,13859.3383237333,84
"['Burgers', 'Breakfast & Brunch', 'Sandwiches', 'Restaurants']",4,12,55,158,171,"average",36.1443957,-115.2016373,4.5,"1yx2zLskVTe5WQdYjL2Apw","Egg & I",2,"1yx2zLskVTe5WQdYjL2Apw",2,2377.10700299909,21
"['Dim Sum', 'Chinese', 'Restaurants']",21,18,76,136,37,"average",36.143685,-115.216317,3.5,"23SJEjfyU5gxY2chAKhgcw","Orchids Garden Chinese Restaurant",2,"23SJEjfyU5gxY2chAKhgcw",2,2012.26202900109,6
"['American (New)', 'Cafes', 'Restaurants']",10,36,68,143,136,"average",36.1597905,-115.292824,4,"25fxw_jOqZtJwl18cCarIA","Honey Salt",1,"25fxw_jOqZtJwl18cCarIA",1,1190.24951172433,10
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",24,40,115,443,458,"",36.121189,-115.169657,4,"34uJtlPnKicSaX1V8_tu1A","The Venetian Resort Hotel Casino",5,"34uJtlPnKicSaX1V8_tu1A",5,10374.1419031981,34
"['Burgers', 'Restaurants']",18,64,159,204,52,"average",36.1231608306,-115.17367959,3.5,"3fV9sL5LklD9ZSeONKmjkw","BLT Burger",5,"3fV9sL5LklD9ZSeONKmjkw",5,10685.5428869722,40
"['Steakhouses', 'Restaurants', 'Italian']",16,44,76,91,132,"average",36.124582,-115.168415,3.5,"3MmHmJXr8Ltk_Z5EGE4KUw","Carnevino",5,"3MmHmJXr8Ltk_Z5EGE4KUw",5,12032.5895531557,68
"['Food', 'Desserts', 'Candy Stores', 'Specialty Food']",25,65,122,125,62,"average",36.1118765818,-115.172553062,3,"41zxbLn6HZQfME3uWbyM4A","Sugar Factory",5,"41zxbLn6HZQfME3uWbyM4A",5,11492.6412704086,57
"['Breakfast & Brunch', 'Steakhouses', 'French', 'Restaurants']",28,85,273,846,771,"average",36.1129524773,-115.172588519,4,"4bEjOyTaDG24SY5TxsaUNQ","Mon Ami Gabi",5,"4bEjOyTaDG24SY5TxsaUNQ",5,11467.928119237,55
"['American (New)', 'Sushi Bars', 'Restaurants']",17,24,44,125,52,"average",36.1638883,-115.2904272,3.5,"4uDW2Rp9eAPL5BUd5C5-bA","Kona Grill",1,"4uDW2Rp9eAPL5BUd5C5-bA",1,1101.21621562734,5
"['French', 'Restaurants']",3,13,30,65,195,"average",36.1025900701,-115.170541385,4.5,"4uGHPY-OpJN08CabtTAvNg","L'Atelier de Joel Robuchon",5,"4uGHPY-OpJN08CabtTAvNg",5,12959.8060918404,81
"['Japanese', 'Restaurants']",19,38,91,286,233,"average",36.1259078979,-115.197906494,4,"4UVhuOLaMm2-34SrW8y-ag","Ichiza",2,"4UVhuOLaMm2-34SrW8y-ag",2,2038.24148492507,9
"['Bars', 'Dance Clubs', 'Nightlife', 'Lounges', 'Italian', 'Restaurants']",34,56,161,225,106,"very_loud",36.1244339501,-115.169068691,3.5,"5GKbGn9-fAgQ0njSh3OJ8A","LAVO Italian Restaurant & Lounge",5,"5GKbGn9-fAgQ0njSh3OJ8A",5,10443.6232960127,35
"['Hotels & Travel', 'Resorts', 'Event Planning & Services', 'Venues & Event Spaces', 'Hotels']",16,31,68,325,402,"",36.1239495,-115.1694728,4,"5paMI5Hhciyl09yGpzdoJw","InterContinental Alliance Resorts THE PALAZZO",5,"5paMI5Hhciyl09yGpzdoJw",5,8643.07027222234,14
"['Steakhouses', 'Restaurants']",2,17,50,83,119,"average",36.1261701368,-115.166998498,4,"5rDosv0aIBhLg81IMSnlyg","SW Steakhouse",5,"5rDosv0aIBhLg81IMSnlyg",5,10907.0614691881,43
"['Nightlife', 'Vegetarian', 'American (New)', 'Bars', 'Restaurants']",8,24,64,131,77,"loud",36.1567959455,-115.334386826,4,"6IRoWd6N__OVMNQfvu1Ccw","Yard House",1,"6IRoWd6N__OVMNQfvu1Ccw",1,1038.47353881819,3
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",86,209,303,195,33,"average",36.095589,-115.175836,2.5,"6LM_Klmp3hOP0JmsMCKRqQ","Luxor Hotel And Casino Las Vegas",5,"6LM_Klmp3hOP0JmsMCKRqQ",5,5630.06853427256,5
"['Restaurants', 'Italian']",23,27,64,169,121,"average",36.0681523873,-115.175929912,4,"79EG9Pv0bxNTmBjTVCd4CQ","Brio Tuscan Grille",6,"79EG9Pv0bxNTmBjTVCd4CQ",6,1051.49819791944,3
"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']",29,48,96,134,47,"very_loud",36.0684850054,-115.17723928,3.5,"84bLhe1aibxNmogtqSO4rA","Blue Martini",6,"84bLhe1aibxNmogtqSO4rA",6,1053.4080134221,4
"['Tapas/Small Plates', 'Tapas Bars', 'Restaurants']",19,17,76,279,342,"loud",36.1185522,-115.1546953,4.5,"8buIr1zBCO7OEcAQSZko7w","Firefly",3,"8buIr1zBCO7OEcAQSZko7w",3,1083.52817403205,5
"['Thai', 'Japanese', 'Chinese', 'Restaurants']",10,13,23,87,141,"average",36.134956,-115.278458,4.5,"8HCC8NuJmdHnEg2XC00NPg","Pan Asian",1,"8HCC8NuJmdHnEg2XC00NPg",1,1246.99241980146,11
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",36,70,178,177,48,"average",36.118699,-115.186484,3,"8IMEf_cj8KyTQojhNOyoPg","Rio All Suites Hotel & Casino",5,"8IMEf_cj8KyTQojhNOyoPg",5,3845.81998737131,2
"['Restaurants', 'Italian']",3,24,33,113,147,"average",36.1098050267,-115.174355507,4,"8Pzdk19tA2bKlKDSgwWqoQ","Scarpetta",5,"8Pzdk19tA2bKlKDSgwWqoQ",5,13976.3635095282,85
"['American (Traditional)', 'American (New)', 'Buffets', 'Restaurants']",20,58,109,137,73,"average",36.121237,-115.174105,3.5,"8zL3V6rmFKBess3bxPLAoQ","Cravings Buffet at Mirage",5,"8zL3V6rmFKBess3bxPLAoQ",5,9452.62553439455,23
"['American (Traditional)', 'Restaurants']",11,20,50,82,97,"average",36.1475472516,-115.15575097,4,"9Bnc9YP0n5cR57xkP6fQmQ","Top of the World Restaurant",7,"9Bnc9YP0n5cR57xkP6fQmQ",7,1189.32197761065,11
"['Pubs', 'Bars', 'Nightlife']",35,66,100,139,78,"loud",36.1177282041,-115.175818301,3,"A3Jv-FFRsDEWXxKJ6ZIxfg","Gordon Ramsay Pub & Grill",5,"A3Jv-FFRsDEWXxKJ6ZIxfg",5,11190.6786853484,48
"['Sushi Bars', 'Japanese', 'Restaurants']",30,47,75,208,267,"average",36.094661,-115.208014,4,"AeKTQBtPRDHLAFL9bzbUnA","Sushi House Goyemon",2,"AeKTQBtPRDHLAFL9bzbUnA",2,2343.94379497866,17
"['Burgers', 'Restaurants']",26,77,185,297,299,"loud",36.1101083959,-115.172338486,4,"aGbjLWzcrnEx2ZmMCFm3EA","Gordon Ramsay BurGR",5,"aGbjLWzcrnEx2ZmMCFm3EA",5,10941.3568962704,44
"['Steakhouses', 'Restaurants']",6,14,23,84,138,"average",36.1151617,-115.1597903,4.5,"APe_0I6DqbNQonSlEkMSEQ","Lawry's The Prime Rib",3,"APe_0I6DqbNQonSlEkMSEQ",3,1337.79626344685,11
"['Steakhouses', 'French', 'Restaurants']",10,23,46,122,165,"average",36.1104848412,-115.174189276,4,"ASOiJ8MmbBTgK2D1_MQrqg","Eiffel Tower Restaurant",5,"ASOiJ8MmbBTgK2D1_MQrqg",5,12917.4562372591,80
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",40,51,110,451,560,"very_loud",36.1099146155,-115.174642483,4,"AtjsjFzalWqJ7S9DUFQ4bw","The Cosmopolitan of Las Vegas",5,"AtjsjFzalWqJ7S9DUFQ4bw",5,9660.89446680326,25
"['Breakfast & Brunch', 'American (New)', 'Mexican', 'Restaurants']",31,48,74,89,52,"average",36.009253,-115.1169844,3.5,"aYAlzKHwXQn6JNLweRnZjQ","Nacho Daddy",8,"aYAlzKHwXQn6JNLweRnZjQ",8,591.460295785062,4
"['Steakhouses', 'Restaurants', 'Buffets', 'Brazilian']",46,58,85,61,23,"average",36.1293928969,-115.172159768,3,"b25jGkZerj2M4WAy95n1Tg","Pampas Churrascaria",5,"b25jGkZerj2M4WAy95n1Tg",5,9883.16191616486,27
"['Japanese', 'Restaurants']",9,23,36,100,87,"average",36.1027027606,-115.169267336,4,"bmNPNlCLDplWB55ic3Bixg","Shibuya",5,"bmNPNlCLDplWB55ic3Bixg",5,13613.4643086896,83
"['Tapas Bars', 'Spanish', 'Restaurants']",17,42,92,193,126,"average",36.1084584289,-115.175769011,4,"BqD7X5CHXnJ14YbBBlLx1w","Julian Serrano",5,"BqD7X5CHXnJ14YbBBlLx1w",5,12191.7678995286,73
"['Burgers', 'American (Traditional)', 'Restaurants']",19,65,208,416,232,"average",36.109622,-115.1732124,4,"BqrTtox0JbG-P_DKBB5bBw","Holsteins Shakes and Buns",5,"BqrTtox0JbG-P_DKBB5bBw",5,10797.2716248109,42
"['Food', 'Coffee & Tea', 'Taiwanese', 'Restaurants']",39,57,104,119,31,"average",36.125964,-115.1976,3,"bqYrEwL5xjqv0u8XAij--Q","Tea Station",2,"bqYrEwL5xjqv0u8XAij--Q",2,2037.48311198818,8
"['Japanese', 'Restaurants']",0,7,23,95,136,"average",36.1268196106,-115.20941925,4.5,"BVCDPqlHMDPLWn9EhdDXNg","Japanese Curry Zen",2,"BVCDPqlHMDPLWn9EhdDXNg",2,2679.70363432083,25
"['Bars', 'American (New)', 'Nightlife', 'Restaurants']",2,34,87,211,98,"average",36.1017869866,-115.170750618,4,"BW1JCE3Qj4uIokg7kLUL7w","Wolfgang Puck Bar and Grill",5,"BW1JCE3Qj4uIokg7kLUL7w",5,11319.1465677782,50
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",35,79,185,286,58,"",36.1126285813,-115.172653473,3,"bYhpy9u8fKkGhYHtvYXazQ","Paris Las Vegas Hotel & Casino",5,"bYhpy9u8fKkGhYHtvYXazQ",5,9056.84236844839,19
"['American (Traditional)', 'Buffets', 'Restaurants']",26,85,98,47,11,"average",36.1020911813,-115.171778365,2.5,"c12WDNrP2wyQgbnEYDdxCw","MGM Grand Buffet",5,"c12WDNrP2wyQgbnEYDdxCw",5,6709.5130617686,7
"['Sushi Bars', 'Hawaiian', 'Restaurants']",15,31,32,97,130,"average",36.0184198,-115.1179769,4,"c8Xamwyv5Tyi2VjjyQcwaw","Island Sushi and Grill",8,"c8Xamwyv5Tyi2VjjyQcwaw",8,605.953210848589,5
"['Mexican', 'Chinese', 'Restaurants']",33,87,109,122,44,"average",36.1098709067,-115.17481374,3,"cMvN1j-LK64zqmT4vnl8NA","China Poblano",5,"cMvN1j-LK64zqmT4vnl8NA",5,10493.3183039621,37
"['Tapas/Small Plates', 'Spanish', 'Restaurants']",8,40,59,134,104,"loud",36.1097544,-115.1738726,3.5,"cN6qpVw6RaSrSI-JGGF4Tw","Jaleo",5,"cN6qpVw6RaSrSI-JGGF4Tw",5,11621.372821856,60
"['American (New)', 'Buffets', 'Restaurants']",35,135,308,495,294,"average",36.1131604088,-115.17640885,3.5,"CZjcFdvJhksq9dy58NVEzw","The Buffet at Bellagio",5,"CZjcFdvJhksq9dy58NVEzw",5,10445.1364218442,36
"['Indian', 'Restaurants']",3,8,21,99,119,"average",36.143955,-115.189818,4.5,"D_BMUHbZk67hzRcK3xQQmg","Mount Everest India's Cuisine",2,"D_BMUHbZk67hzRcK3xQQmg",2,2693.68958922572,26
"['Ramen', 'Japanese', 'Restaurants']",15,33,117,327,320,"average",36.1270432,-115.2096534,4,"DjOxXobyGDwWt89q4z1twg","Monta Ramen",2,"DjOxXobyGDwWt89q4z1twg",2,2239.72126326697,15
"['Southern', 'Restaurants']",23,74,131,365,363,"average",36.1259513087,-115.171051025,4,"DO3Gk17RyJVW7zYMCtYPnw","Mesa Grill",5,"DO3Gk17RyJVW7zYMCtYPnw",5,12188.1817865732,72
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",11,48,142,327,106,"average",36.1211559257,-115.173640363,3.5,"DUdBbrvqfaqUe9GYKmYNtA","The Mirage",5,"DUdBbrvqfaqUe9GYKmYNtA",5,8841.09310715465,16
"['American (Traditional)', 'Steakhouses', 'Seafood', 'Restaurants']",4,26,39,95,153,"average",36.1134713821,-115.207443237,4,"dVAurLD1bBIi9IvuMFoL5g","N9NE Steakhouse",2,"dVAurLD1bBIi9IvuMFoL5g",2,2404.51870701882,22
"['Korean', 'Asian Fusion', 'Dim Sum', 'Chinese', 'Restaurants']",19,44,82,85,41,"average",36.1122690547,-115.176300532,3,"E9ZsPtGovfEPHlMHkDdlQA","Noodles",5,"E9ZsPtGovfEPHlMHkDdlQA",5,9138.12946878746,20
"['Sushi Bars', 'Restaurants']",28,43,73,191,215,"average",36.1154995461,-115.135005833,4,"eLPld7Q17XxlclFGzZQX5g","Yama Sushi",3,"eLPld7Q17XxlclFGzZQX5g",3,1118.68795919786,7
"['German', 'Bars', 'Nightlife', 'Restaurants']",21,43,92,179,122,"very_loud",36.1076658,-115.1513485,3.5,"ES-j5yNTgmgbL4He0h6otA","Hofbrauhaus - Las Vegas",3,"ES-j5yNTgmgbL4He0h6otA",3,1029.60612846469,4
"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",55,106,292,403,117,"very_loud",36.103053,-115.167686,3.5,"eWPFXL1Bmu1ImtIa2Rqliw","MGM Grand Hotel",5,"eWPFXL1Bmu1ImtIa2Rqliw",5,7080.96857458365,9
"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']",10,22,47,113,118,"average",36.1003457137,-115.227476295,4,"fkVBloMEFJG2HTgeCxeNDg","Black Bear Diner",2,"fkVBloMEFJG2HTgeCxeNDg",2,2285.83646272295,16
"['Vietnamese', 'Chinese', 'Restaurants']",44,79,225,345,153,"average",36.126177,-115.193971,3.5,"FV16IeXJp2W6pnghTz2FAw","Pho Kim Long",2,"FV16IeXJp2W6pnghTz2FAw",2,2099.237670326,11
