"Words","Coefficients"
"aboveaverage",0
"absolutely",-0.175872952215893
"accentuate",0
"accentuated",0
"acceptable",0.67183794685832
"accessibility",0
"accessible",0
"accessories",0
"accidental",-0.392430390675799
"accidentally",0.276085719327212
"accidently",0
"accommodate",0.0146546536248929
"accommodated",-0.236114696892993
"accommodates",0
"accommodating",-0.305183424878549
"accommodation",0
"accommodations",0.12847019473762
"accomodate",0
"accomodated",0
"accomodating",-0.728081608233375
"accomodations",0
"accompanied",-0.27285978989341
"accompanies",0
"accompaniment",-0.136731205774482
"accompaniments",-0.800038637739028
"accompanying",-0.187916987995064
"accomplish",0
"accomplished",0.726757211472732
"accomplishment",-0.478574170741796
"accordingly",-0.16092199640916
"accounting",0.327892736611932
"accouterments",0
"accoutrement",0
"accoutrements",0
"accumulated",0
"accurately",0
"accustomed",-0.0665819610357339
"acknowledge",0.967073812109714
"acknowledged",1.57487678951719
"acknowledgement",2.04163866975984
"acknowledging",0.0476972895244233
"acknowledgment",1.53037480630259
"acquainted",0
"activities",0
"additional",0.0408481694053196
"additionally",0.0705254891401087
"addressing",0
"adequately",0
"adjectives",0
"adjustment",0
"adjustments",0
"admittedly",0
"advantages",0
"adventures",0
"adventurous",-0.156680886388984
"advertised",0.276506084117372
"advertisement",0.4994004562846
"advertisements",0
"advertises",0
"advertising",1.02456112092746
"aesthetically",0
"aesthetics",0
"affiliated",0
"affliction",0
"affordable",-0.635621050977798
"aficionado",-0.571946968895119
"aforementioned",0
"afterdinner",0
"afterhours",0
"afternoons",0
"aftertaste",0.297790521513009
"afterthought",0
"afterwards",0.288934799184938
"afterwords",0
"aggravation",1.60707555163188
"aggressive",0
"aggressively",0.723691280506775
"airconditioned",0
"airconditioning",0.48381417655618
"albertsons",0
"albondigas",0
"alcoholics",0
"alexanders",0
"allamerican",0
"allyoucandrink",1.08481075928179
"allyoucaneat",-0.193408240671819
"alternating",0
"alternative",0
"alternatives",0
"altogether",0
"amazeballs",-1.32526176275367
"amazingness",-0.441607112041094
"amazingthe",-1.23259290092376
"americaine",0
"americanized",0.00624864024815714
"ammenities",0
"amusebouche",0
"anniversaries",0
"anniversary",-0.102532372039788
"announcement",1.16362017822616
"announcing",1.21283288422018
"annoyances",0.642915918998218
"annoyingly",0
"anticipate",0
"anticipated",0
"anticipating",0.100855256324576
"anticipation",0.00213771666806617
"antioxidant",0
"apartments",0
"apologetic",0.791131974479923
"apologized",0.778290489329667
"apologizes",2.1089987844698
"apologizing",0.380228486381107
"apparently",0.423498903885293
"appearance",0
"appearances",0
"appetizers",-0.170718228217259
"appetizing",0.917012103367342
"applicable",0
"application",0
"appointment",0
"appointments",-0.398716568417232
"appreciate",0
"appreciated",-0.23872277201131
"appreciates",0
"appreciation",-0.231062317360762
"appreciative",-0.195506327453152
"apprehensive",0
"approachable",0
"approached",0.353185764047051
"approaches",0.855252740800539
"approaching",0.208742043808371
"appropriate",0
"appropriately",0
"approximate",0.878617278298731
"approximately",0.208912578002814
"architectural",0
"architecture",-0.101435957585171
"arrangement",-0.0895867866998543
"arrangements",-0.206389633714871
"artichokes",0
"artificial",0.679239757864143
"artificially",0
"asianfusion",0
"asianinspired",0
"asianstyle",0.677942137120195
"assessment",-0.644021007266415
"assistance",0
"assistants",-0.912190731433786
"associated",0.425623630556124
"associates",0.509354841588833
"association",0
"assortment",-0.492045743411057
"assortments",-0.860878309679462
"assumption",0
"astonished",0.5902722952941
"astonishing",-0.465349562901094
"astonishingly",0.410364025422772
"astounding",-0.0516930271417094
"astronomical",1.15624956787625
"atmosphere",-0.461675210909578
"atmospheres",0
"atmostphere",-0.226921701528856
"atomsphere",0
"attempting",0.726254601085762
"attendance",0.360676410536175
"attendants",0.580986963426962
"attentiveness",0
"attracting",-0.323936384634134
"attraction",0
"attractions",-0.361474431953021
"attractive",0
"attributed",0
"attributes",0
"australian",0
"authentically",-0.322929739563038
"authenticity",0
"autographed",0
"automatically",0.060672051203867
"availability",-0.0102295710694574
"awardwinning",0
"aweinspiring",0
"awesomeness",-0.971485830541288
"awesomethe",-0.302682391272008
"awkwardness",-1.02709189575839
"babystacks",-0.102772358448316
"bacchanals",-0.298091562713917
"bachelorette",0
"bachelorettes",0
"bachlorette",-0.411897493426098
"background",0
"baconwrapped",0
"bamboozled",-0.0808704442483403
"banananutella",0
"barrestaurant",0.360056112717141
"barslounges",0
"barstaurant",0
"bartenders",0
"bartending",0.470711584593863
"basketball",0
"bastardized",0
"bastianich",0
"beautifully",-0.788841457572325
"beckinsale",0
"beerbattered",-0.85307380991016
"beforehand",0
"begrudgingly",0
"belligerent",0
"belongings",0.558068754586493
"billboards",0.750865869964738
"billionaire",0
"bitterness",0
"bittersweet",0
"blackberries",0
"blackberry",0
"blackboard",0
"blissfully",-0.807873296688761
"blistering",0
"blueberries",0
"boddingtons",0
"boisterous",-0.106750710047429
"bolognaise",0
"bookmarked",-0.138393413768191
"boquerones",0
"bordelaise",-0.200067906323005
"borderline",0.828643334098505
"bothersome",0
"bottomless",-0.319776599969685
"bottomline",0
"bouillabaisse",-0.0727623041601048
"boundaries",1.2677258110921
"bourbonancho",0
"bourguignon",0
"boyfriends",0
"brazillian",0
"breadbasket",0
"breadcrumb",0
"breadcrumbs",0
"breadsticks",0
"breakfastbrunch",-0.620476654767326
"breakfastlunch",-0.515996131330904
"breakfasts",-0.574740795104565
"breakfasty",0
"breathtaking",-0.473598640905085
"brightened",0
"brightness",0
"brilliantly",0
"broccolini",0.0434299694252639
"brotherinlaw",0
"brunchbreakfast",1.0104249892305
"brunchlunch",0
"bruschetta",0
"buildyourown",0
"businesses",-0.0735885851602746
"businessmen",-1.08594296009025
"buttercake",0
"buttercream",0
"butterfinger",-0.035322822650033
"butterfish",-0.297990881882705
"butterflied",0.247359112718185
"butterflies",0
"buttermilk",0
"butterscotch",-0.274460520071267
"caipirinha",0
"caipirinhas",0.0229916176902866
"cajuncreole",-0.535530174859952
"calculated",0.635882904983304
"california",0
"californian",0
"californians",-0.297215846929819
"cancellation",0
"cancelling",0
"cannelloni",0
"cantaloupe",-0.00368133266898191
"capabilities",-0.0680711046695638
"cappuccino",0
"cappuccinos",0
"capriottis",0
"caramalized",0
"caramelized",-0.406671330968112
"carbonated",0.114381296253582
"carmalized",0
"carmelized",-0.800811483688209
"carnivores",-0.119249042816298
"carnivorous",-0.624791527533964
"casinohotel",0
"casinohotels",0
"casinoresort",0
"casseroles",0
"categories",-0.163203065412788
"categorize",0
"caterpillar",0
"cauliflower",0
"cautiously",0
"celebrated",-0.553923857518207
"celebrating",-0.359272367294902
"celebration",-0.0136376425995374
"celebrations",0
"celebratory",0
"celebrities",0
"centerpiece",0
"centralized",0
"centrifuge",0
"certificate",0
"certificates",0
"chalkboard",0
"challenged",0.512344560842502
"challenges",0
"challenging",0
"chandelier",-0.801697165812194
"chandeliers",-0.481010987277823
"chanterelle",0
"chanterelles",-0.293742007858298
"characteristic",0
"characteristics",0
"characters",0
"charbroiled",-0.424217278281431
"charcuterie",-0.263135141685385
"chardonnay",-0.366929971641155
"charismatic",0
"charleston",0
"chateaubriand",0
"chawanmushi",-0.000932685376682662
"cheapskate",0.0527958677561409
"checkingin",0
"cheerfully",-0.679278823990141
"cheeseburger",0
"cheeseburgers",-0.0290269837160281
"cheesecake",-0.254263915543965
"cheesecakes",0
"cheesesteak",0
"cheesiness",0
"chilaquiles",-0.114593130266317
"chilehoney",0
"chimichanga",0
"chimichurri",0
"chinesemexican",0.616876813753425
"chippendales",0
"chocoholic",0
"chocolatedipped",-0.252166894916516
"chocolately",-0.335878548048425
"chocolates",0
"chocolatey",0
"cholesterol",-0.239128294678076
"chopsticks",0
"choreographed",0
"christopher",0
"chrysanthemum",1.0397608968509
"churrascaria",0.248744433504185
"churrascarias",0.36023695794741
"cigarettes",1.0410339794312
"cinderella",0
"circulating",0
"circulation",0
"circumstance",0
"circumstances",0
"citycenter",-0.152900478515231
"classically",0
"classified",0.188751959366232
"classiness",0
"claustrophobia",0
"claustrophobic",-0.347999792138581
"cleanliness",0.348374408741903
"clublounge",0
"cobblestone",0
"coincidence",0.224999139958494
"coincidentally",-0.613767675366173
"colicchios",0
"colleagues",0
"collecting",0
"collection",-0.235102867662428
